cortexa-backend  | INFO  [alembic.runtime.migration] Context impl PostgresqlImpl.
cortexa-backend  | ts=2026-08-04T05:13:53+0000 level=INFO logger=cortexa.access request_id=8a0c5c26-f50a-423a-921d-c34b53bf90de msg=request_completed method=OPTIONS path=/api/v1/conversations/d8c48118-1012-4bd2-8fbb-50af4771b860/messages/stream status_code=200 duration_ms=0.05
cortexa-backend  | ts=2026-08-04T05:13:53+0000 level=INFO logger=cortexa.messages request_id=31fe6045-c8e6-47e9-a9d3-fea83985c9df msg=user_message_accepted user_id=e9b2bc2d-91de-4232-b98a-4e247bdae61c conversation_id=d8c48118-1012-4bd2-8fbb-50af4771b860 message_id=d8bb395a-45a2-4564-aa13-7b4681ea54a8 content_length=199 request_id=31fe6045-c8e6-47e9-a9d3-fea83985c9df
cortexa-backend  | ts=2026-08-04T05:13:53+0000 level=INFO logger=cortexa.chat request_id=31fe6045-c8e6-47e9-a9d3-fea83985c9df msg=stream_started user_id=e9b2bc2d-91de-4232-b98a-4e247bdae61c conversation_id=d8c48118-1012-4bd2-8fbb-50af4771b860 message_id=559f7347-ffed-4cb2-bb80-755ff4fa3475 request_id=31fe6045-c8e6-47e9-a9d3-fea83985c9df
cortexa-backend  | ts=2026-08-04T05:13:53+0000 level=INFO logger=cortexa.retrieval request_id=31fe6045-c8e6-47e9-a9d3-fea83985c9df msg=retrieval_start user_id=e9b2bc2d-91de-4232-b98a-4e247bdae61c top_k=5 document_filter_count=0 request_id=31fe6045-c8e6-47e9-a9d3-fea83985c9df
cortexa-backend  | ts=2026-08-04T05:13:56+0000 level=INFO logger=cortexa.retrieval request_id=31fe6045-c8e6-47e9-a9d3-fea83985c9df msg=retrieval_complete user_id=e9b2bc2d-91de-4232-b98a-4e247bdae61c retrieval_count=1 request_id=31fe6045-c8e6-47e9-a9d3-fea83985c9df
cortexa-backend  | ts=2026-08-04T05:13:56+0000 level=INFO logger=cortexa.chat request_id=31fe6045-c8e6-47e9-a9d3-fea83985c9df msg=retrieval_count user_id=e9b2bc2d-91de-4232-b98a-4e247bdae61c conversation_id=d8c48118-1012-4bd2-8fbb-50af4771b860 retrieval_count=1 retrieval_ms=2860.39 request_id=31fe6045-c8e6-47e9-a9d3-fea83985c9df
cortexa-backend  | ts=2026-08-04T05:13:56+0000 level=INFO logger=cortexa.memory.retrieval request_id=31fe6045-c8e6-47e9-a9d3-fea83985c9df msg=memory_retrieval_started user_id=e9b2bc2d-91de-4232-b98a-4e247bdae61c query_chars=199 request_id=31fe6045-c8e6-47e9-a9d3-fea83985c9df
cortexa-backend  | ts=2026-08-04T05:13:56+0000 level=INFO logger=cortexa.memory.retrieval request_id=31fe6045-c8e6-47e9-a9d3-fea83985c9df msg=memory_retrieval_completed user_id=e9b2bc2d-91de-4232-b98a-4e247bdae61c considered=0 selected=0 duration_ms=8.54 request_id=31fe6045-c8e6-47e9-a9d3-fea83985c9df
cortexa-backend  | ts=2026-08-04T05:13:56+0000 level=INFO logger=cortexa.agents.planning request_id=31fe6045-c8e6-47e9-a9d3-fea83985c9df msg=planning_strategy_selected strategy=deterministic task_count=2
cortexa-backend  | ts=2026-08-04T05:13:56+0000 level=INFO logger=cortexa.llm.service request_id=31fe6045-c8e6-47e9-a9d3-fea83985c9df msg=llm_service_generate provider=ollama model=qwen2.5:7b request_id=31fe6045-c8e6-47e9-a9d3-fea83985c9df
cortexa-backend  | ts=2026-08-04T05:13:56+0000 level=INFO logger=cortexa.llm.ollama request_id=31fe6045-c8e6-47e9-a9d3-fea83985c9df msg=llm_generate_start provider=ollama model=qwen2.5:7b request_id=31fe6045-c8e6-47e9-a9d3-fea83985c9df
cortexa-backend  | ts=2026-08-04T05:13:58+0000 level=INFO logger=cortexa.access request_id=10b8ac5f-cbc0-4304-8157-e6385ca2275d msg=request_completed method=GET path=/health status_code=200 duration_ms=1.66
cortexa-backend  | ts=2026-08-04T05:14:13+0000 level=INFO logger=cortexa.access request_id=5e2a54cb-9b96-4fb7-a289-4d303aaa8c34 msg=request_completed method=GET path=/health status_code=200 duration_ms=4.52
cortexa-backend  | ts=2026-08-04T05:14:16+0000 level=ERROR logger=cortexa.agents.coordinator request_id=31fe6045-c8e6-47e9-a9d3-fea83985c9df msg=coordinator_unexpected_failure correlation_id=559f7347-ffed-4cb2-bb80-755ff4fa3475
cortexa-backend  | ts=2026-08-04T05:14:16+0000 level=ERROR logger=cortexa.api.conversations request_id=31fe6045-c8e6-47e9-a9d3-fea83985c9df msg=conversation_stream_unexpected_failure exception_type=MissingGreenlet exception_message=greenlet_spawn has not been called; can't call await_only() here. Was IO attempted in an unexpected place? (Background on this error at: https://sqlalche.me/e/20/xd2s)
cortexa-backend  | ts=2026-08-04T05:14:16+0000 level=INFO logger=cortexa.access request_id=31fe6045-c8e6-47e9-a9d3-fea83985c9df msg=request_completed method=POST path=/api/v1/conversations/d8c48118-1012-4bd2-8fbb-50af4771b860/messages/stream status_code=200 duration_ms=23219.77
cortexa-backend  | ts=2026-08-04T05:14:28+0000 level=INFO logger=cortexa.access request_id=2ce8c05b-34a5-40a0-acba-f2f1c2d64166 msg=request_completed method=GET path=/health status_code=200 duration_ms=5.65
cortexa-backend  | ts=2026-08-04T05:14:43+0000 level=INFO logger=cortexa.access request_id=e40f3376-14a5-4a89-a67e-1c951f6d676e msg=request_completed method=GET path=/health status_code=200 duration_ms=11.31
cortexa-backend  | ts=2026-08-04T05:14:58+0000 level=INFO logger=cortexa.access request_id=ea2d68c1-88d1-4316-8e77-a9945623c68d msg=request_completed method=GET path=/health status_code=200 duration_ms=3.1
cortexa-backend  | ts=2026-08-04T05:15:13+0000 level=INFO logger=cortexa.access request_id=4f689fa3-a605-43bd-9396-5c87acd51271 msg=request_completed method=GET path=/health status_code=200 duration_ms=4.52
cortexa-backend  | ts=2026-08-04T05:15:28+0000 level=INFO logger=cortexa.access request_id=a07c8285-6f85-40ad-ab5f-270970a3f27e msg=request_completed method=GET path=/health status_code=200 duration_ms=1.51
cortexa-backend  | ts=2026-08-04T05:15:44+0000 level=INFO logger=cortexa.access request_id=4204db53-47c7-4ceb-96f0-0e8d0460ddcf msg=request_completed method=GET path=/health status_code=200 duration_ms=0.3
cortexa-backend  | ts=2026-08-04T05:15:59+0000 level=INFO logger=cortexa.access request_id=1fdfc41b-6f9d-4aa6-96e8-fe174267373e msg=request_completed method=GET path=/health status_code=200 duration_ms=2.98
cortexa-backend  | ts=2026-08-04T05:16:14+0000 level=INFO logger=cortexa.access request_id=0084e835-6831-45d4-b1a3-c2fa6f827389 msg=request_completed method=GET path=/health status_code=200 duration_ms=5.12
cortexa-backend  | ts=2026-08-04T05:16:29+0000 level=INFO logger=cortexa.access request_id=1c963536-fe95-41cf-a9fc-891268e61612 msg=request_completed method=GET path=/health status_code=200 duration_ms=3.4
cortexa-backend  | ts=2026-08-04T05:16:44+0000 level=INFO logger=cortexa.access request_id=250387a6-0e82-4152-8370-7ff021a93713 msg=request_completed method=GET path=/health status_code=200 duration_ms=0.32
cortexa-backend  | ts=2026-08-04T05:16:59+0000 level=INFO logger=cortexa.access request_id=2e89d843-4359-4731-a6da-adab055c8da6 msg=request_completed method=GET path=/health status_code=200 duration_ms=5.41
cortexa-backend  | ts=2026-08-04T05:17:14+0000 level=INFO logger=cortexa.access request_id=3f188964-5db4-4327-b06b-ee1191301bf1 msg=request_completed method=GET path=/health status_code=200 duration_ms=3.01
cortexa-backend  | ts=2026-08-04T05:17:29+0000 level=INFO logger=cortexa.access request_id=1126cd10-bade-4993-af9a-085fcbe07a4c msg=request_completed method=GET path=/health status_code=200 duration_ms=3.05
cortexa-backend  | ts=2026-08-04T05:17:44+0000 level=INFO logger=cortexa.access request_id=09b26123-1918-4009-85a5-838442d42371 msg=request_completed method=GET path=/health status_code=200 duration_ms=3.34
